date,product,time,item_sold,total_product_available,new_arrival
2023-01-03,Iodized Salt,13:00:00,19,416,0
2023-01-03,Sunflower Cooking Oil,19:00:00,8,768,0
2023-01-03,Instant Noodles,19:00:00,20,899,0
2023-01-03,Breakfast Cereal,19:00:00,19,820,0
2023-01-03,Peanut Butter,12:00:00,33,607,0
2023-01-03,Green Tea,20:00:00,18,1362,0
2023-01-03,Instant Coffee,15:00:00,19,1373,0
2023-01-03,Whole Milk,20:00:00,10,642,0
2023-01-03,Orange Juice,10:00:00,46,908,0
2023-01-03,Coca-Cola (Can),19:00:00,56,1035,0
2023-01-03,Bottled Water (1L),13:00:00,56,538,0
2023-01-03,Flavored Yogurt,11:00:00,50,1140,0
2023-01-03,Toothpaste,19:00:00,22,426,0
2023-01-03,Shampoo,17:00:00,25,862,0
2023-01-03,Bar Soap,10:00:00,9,819,0
2023-01-03,Body Lotion,15:00:00,47,1025,0
2023-01-03,Shaving Cream,09:00:00,34,1139,0
2023-01-03,Laundry Detergent,15:00:00,50,166,0
2023-01-03,Toilet Paper (Rolls),12:00:00,11,718,0
2023-01-03,Dishwashing Liquid,18:00:00,56,257,0
2023-01-03,Garbage Bags,18:00:00,38,1145,0
2023-01-03,Air Freshener,12:00:00,25,709,0
2023-01-03,Diapers (Pack of 20),14:00:00,47,534,0
2023-01-03,Baby Wipes,18:00:00,36,244,0
2023-01-03,Baby Powder,16:00:00,52,516,0
2023-01-03,Baby Cereal,15:00:00,17,394,0
2023-01-03,Formula Milk,19:00:00,57,665,0
2023-01-03,Men's T-shirt,14:00:00,38,1176,0
2023-01-03,Women's Jeans,17:00:00,24,1294,0
2023-01-03,Kids' Shorts,20:00:00,45,1173,0
2023-01-03,Socks (Pack of 3),15:00:00,44,1243,0
2023-01-03,Cotton Towels,12:00:00,53,1072,0
2023-01-03,AA Batteries (Pack),11:00:00,33,505,0
2023-01-03,USB Charging Cable,09:00:00,35,755,0
2023-01-03,LED Light Bulb,14:00:00,10,308,0
2023-01-03,Bluetooth Earphones,10:00:00,35,773,0
2023-01-03,Power Strip,16:00:00,55,601,0
2023-01-03,Chocolate Cookies,12:00:00,25,248,0
2023-01-03,Salted Chips,09:00:00,40,200,0
2023-01-03,Trail Mix,09:00:00,34,654,0
2023-01-03,Protein Bars,17:00:00,15,437,0
2023-01-03,Microwave Popcorn,20:00:00,18,540,0
2023-01-03,Notebook,09:00:00,44,598,0
2023-01-03,Ballpoint Pens,12:00:00,21,1091,0
2023-01-03,Sticky Notes,13:00:00,53,775,0
2023-01-03,Gift Wrap,15:00:00,15,990,0
2023-01-03,Hand Sanitizer,09:00:00,21,721,0
2023-01-04,Basmati Rice,19:00:00,43,608,0
2023-01-04,Whole Wheat Flour,17:00:00,14,579,0
2023-01-04,Granulated Sugar,20:00:00,61,1019,0
2023-01-04,Iodized Salt,12:00:00,17,399,0
2023-01-04,Sunflower Cooking Oil,20:00:00,9,759,0
2023-01-04,Instant Noodles,18:00:00,17,882,0
2023-01-04,Breakfast Cereal,19:00:00,16,804,0
2023-01-04,Peanut Butter,16:00:00,32,575,0
2023-01-04,Green Tea,20:00:00,21,1341,0
2023-01-04,Instant Coffee,12:00:00,20,1353,0
2023-01-04,Whole Milk,15:00:00,12,630,0
2023-01-04,Orange Juice,13:00:00,47,861,0
2023-01-04,Coca-Cola (Can),13:00:00,56,979,0
2023-01-04,Bottled Water (1L),11:00:00,53,485,0
2023-01-04,Flavored Yogurt,20:00:00,53,1087,0
2023-01-04,Toothpaste,11:00:00,20,406,0
2023-01-04,Shampoo,18:00:00,22,840,0
2023-01-04,Bar Soap,18:00:00,9,810,0
2023-01-04,Body Lotion,19:00:00,49,976,0
2023-01-04,Shaving Cream,19:00:00,32,1107,0
2023-01-04,Laundry Detergent,20:00:00,49,117,0
2023-01-04,Toilet Paper (Rolls),18:00:00,11,707,0
2023-01-04,Dishwashing Liquid,18:00:00,59,198,0
2023-01-04,Garbage Bags,12:00:00,41,1104,0
2023-01-04,Air Freshener,14:00:00,20,689,0
2023-01-04,Diapers (Pack of 20),20:00:00,46,488,0
2023-01-04,Baby Wipes,16:00:00,37,207,0
2023-01-04,Baby Powder,13:00:00,48,468,0
2023-01-04,Baby Cereal,12:00:00,21,373,0
2023-01-04,Formula Milk,15:00:00,57,608,0
2023-01-04,Men's T-shirt,18:00:00,38,1138,0
2023-01-04,Women's Jeans,12:00:00,22,1272,0
2023-01-04,Kids' Shorts,12:00:00,46,1127,0
2023-01-04,Socks (Pack of 3),12:00:00,44,1199,0
2023-01-04,Cotton Towels,11:00:00,55,1017,0
2023-01-04,AA Batteries (Pack),18:00:00,36,469,0
2023-01-04,USB Charging Cable,18:00:00,29,726,0
2023-01-04,LED Light Bulb,14:00:00,11,297,0
2023-01-04,Bluetooth Earphones,20:00:00,37,736,0
2023-01-04,Power Strip,14:00:00,47,554,0
2023-01-04,Chocolate Cookies,17:00:00,30,218,0
2023-01-04,Salted Chips,12:00:00,40,160,0
2023-01-04,Trail Mix,10:00:00,39,615,0
2023-01-04,Protein Bars,14:00:00,17,420,0
2023-01-04,Microwave Popcorn,16:00:00,13,527,0
2023-01-04,Notebook,14:00:00,43,555,0
2023-01-04,Ballpoint Pens,14:00:00,20,1071,0
2023-01-04,Sticky Notes,16:00:00,49,726,0
2023-01-04,Gift Wrap,18:00:00,18,972,0
2023-01-04,Hand Sanitizer,11:00:00,19,702,0
2023-01-05,Basmati Rice,19:00:00,41,567,0
2023-01-05,Whole Wheat Flour,10:00:00,11,568,0
2023-01-05,Granulated Sugar,15:00:00,59,960,0
2023-01-05,Iodized Salt,14:00:00,16,383,0
2023-01-05,Sunflower Cooking Oil,15:00:00,8,751,0
2023-01-05,Instant Noodles,09:00:00,19,863,0
2023-01-05,Breakfast Cereal,15:00:00,19,785,0
2023-01-05,Peanut Butter,20:00:00,36,539,0
2023-01-05,Green Tea,14:00:00,23,1318,0
2023-01-05,Instant Coffee,17:00:00,21,1332,0
2023-01-05,Whole Milk,18:00:00,13,617,0
2023-01-05,Orange Juice,16:00:00,44,817,0
2023-01-05,Coca-Cola (Can),20:00:00,54,925,0
2023-01-05,Bottled Water (1L),15:00:00,55,430,0
2023-01-05,Flavored Yogurt,18:00:00,52,1035,0
2023-01-05,Toothpaste,20:00:00,18,388,0
2023-01-05,Shampoo,18:00:00,23,817,0
2023-01-05,Bar Soap,10:00:00,13,797,0
2023-01-05,Body Lotion,13:00:00,49,927,0
2023-01-05,Shaving Cream,20:00:00,31,1076,0
2023-01-05,Laundry Detergent,13:00:00,49,68,0
2023-01-05,Toilet Paper (Rolls),19:00:00,9,698,0
2023-01-05,Dishwashing Liquid,19:00:00,54,144,0
2023-01-05,Garbage Bags,17:00:00,39,1065,0
2023-01-05,Air Freshener,10:00:00,26,663,0
2023-01-05,Diapers (Pack of 20),15:00:00,48,440,0
2023-01-05,Baby Wipes,17:00:00,35,172,0
2023-01-05,Baby Powder,20:00:00,51,417,0
2023-01-05,Baby Cereal,14:00:00,19,354,0
2023-01-05,Formula Milk,17:00:00,55,553,0
2023-01-05,Men's T-shirt,20:00:00,38,1100,0
2023-01-05,Women's Jeans,15:00:00,24,1248,0
2023-01-05,Kids' Shorts,16:00:00,45,1082,0
2023-01-05,Socks (Pack of 3),13:00:00,42,1157,0
2023-01-05,Cotton Towels,17:00:00,55,962,0
2023-01-05,AA Batteries (Pack),19:00:00,34,435,0
2023-01-05,USB Charging Cable,18:00:00,33,693,0
2023-01-05,LED Light Bulb,10:00:00,9,288,0
2023-01-05,Bluetooth Earphones,10:00:00,39,697,0
2023-01-05,Power Strip,20:00:00,52,502,0
2023-01-05,Chocolate Cookies,13:00:00,24,194,0
2023-01-05,Salted Chips,15:00:00,37,123,0
2023-01-05,Trail Mix,18:00:00,31,584,0
2023-01-05,Protein Bars,09:00:00,19,401,0
2023-01-05,Microwave Popcorn,15:00:00,17,510,0
2023-01-05,Notebook,14:00:00,46,509,0
2023-01-05,Ballpoint Pens,12:00:00,17,1054,0
2023-01-05,Sticky Notes,14:00:00,52,674,0
2023-01-05,Gift Wrap,11:00:00,18,954,0
2023-01-05,Hand Sanitizer,14:00:00,19,683,0
2023-01-06,Basmati Rice,12:00:00,39,528,0
2023-01-06,Whole Wheat Flour,16:00:00,14,554,0
2023-01-06,Granulated Sugar,18:00:00,59,901,0
2023-01-06,Iodized Salt,14:00:00,16,367,0
2023-01-06,Sunflower Cooking Oil,18:00:00,11,740,0
2023-01-06,Instant Noodles,09:00:00,15,848,0
2023-01-06,Breakfast Cereal,18:00:00,18,767,0
2023-01-06,Peanut Butter,11:00:00,34,505,0
2023-01-06,Green Tea,09:00:00,18,1300,0
2023-01-06,Instant Coffee,11:00:00,19,1313,0
2023-01-06,Whole Milk,14:00:00,9,608,0
2023-01-06,Orange Juice,18:00:00,49,768,0
2023-01-06,Coca-Cola (Can),18:00:00,57,868,0
2023-01-06,Bottled Water (1L),16:00:00,55,375,0
2023-01-06,Flavored Yogurt,10:00:00,48,987,0
2023-01-06,Toothpaste,16:00:00,18,370,0
2023-01-06,Shampoo,20:00:00,22,795,0
2023-01-06,Bar Soap,11:00:00,8,789,0
2023-01-06,Body Lotion,10:00:00,49,878,0
2023-01-06,Shaving Cream,20:00:00,35,1041,0
2023-01-06,Laundry Detergent,18:00:00,53,15,0
2023-01-06,Toilet Paper (Rolls),13:00:00,9,689,0
2023-01-06,Dishwashing Liquid,14:00:00,54,90,0
2023-01-06,Garbage Bags,17:00:00,40,1025,0
2023-01-06,Air Freshener,09:00:00,23,640,0
2023-01-06,Diapers (Pack of 20),12:00:00,45,395,0
2023-01-06,Baby Wipes,19:00:00,40,132,0
2023-01-06,Baby Powder,11:00:00,50,367,0
2023-01-06,Baby Cereal,13:00:00,18,336,0
2023-01-06,Formula Milk,18:00:00,61,492,0
2023-01-06,Men's T-shirt,09:00:00,38,1062,0
2023-01-06,Women's Jeans,17:00:00,25,1223,0
2023-01-06,Kids' Shorts,15:00:00,45,1037,0
2023-01-06,Socks (Pack of 3),15:00:00,46,1111,0
2023-01-06,Cotton Towels,20:00:00,53,909,0
2023-01-06,AA Batteries (Pack),19:00:00,35,400,0
2023-01-06,USB Charging Cable,15:00:00,30,663,0
2023-01-06,LED Light Bulb,18:00:00,9,279,0
2023-01-06,Bluetooth Earphones,12:00:00,33,664,0
2023-01-06,Power Strip,16:00:00,48,454,0
2023-01-06,Chocolate Cookies,18:00:00,26,168,0
2023-01-06,Salted Chips,20:00:00,37,86,0
2023-01-06,Trail Mix,09:00:00,36,548,0
2023-01-06,Protein Bars,16:00:00,16,385,0
2023-01-06,Microwave Popcorn,16:00:00,15,495,0
2023-01-06,Notebook,15:00:00,43,466,0
2023-01-06,Ballpoint Pens,14:00:00,16,1038,0
2023-01-06,Sticky Notes,18:00:00,53,621,0
2023-01-06,Gift Wrap,15:00:00,21,933,0
2023-01-06,Hand Sanitizer,19:00:00,16,667,0
2023-01-07,Basmati Rice,10:00:00,55,473,0
2023-01-07,Whole Wheat Flour,13:00:00,17,537,0
2023-01-07,Granulated Sugar,12:00:00,73,828,0
2023-01-07,Iodized Salt,20:00:00,21,346,0
2023-01-07,Sunflower Cooking Oil,14:00:00,11,729,0
2023-01-07,Instant Noodles,16:00:00,20,828,0
2023-01-07,Breakfast Cereal,18:00:00,21,746,0
2023-01-07,Peanut Butter,19:00:00,38,467,0
2023-01-07,Green Tea,11:00:00,19,1281,0
2023-01-07,Instant Coffee,17:00:00,26,1287,0
2023-01-07,Whole Milk,15:00:00,14,594,0
2023-01-07,Orange Juice,11:00:00,57,711,0
2023-01-07,Coca-Cola (Can),13:00:00,70,798,0
2023-01-07,Bottled Water (1L),14:00:00,67,308,0
2023-01-07,Flavored Yogurt,12:00:00,61,926,0
2023-01-07,Toothpaste,15:00:00,26,344,0
2023-01-07,Shampoo,19:00:00,27,768,0
2023-01-07,Bar Soap,20:00:00,14,775,0
2023-01-07,Body Lotion,13:00:00,57,821,0
2023-01-07,Shaving Cream,17:00:00,36,1005,0
2023-01-07,Laundry Detergent,16:00:00,15,0,0
2023-01-07,Toilet Paper (Rolls),19:00:00,13,676,0
2023-01-07,Dishwashing Liquid,14:00:00,66,24,0
2023-01-07,Garbage Bags,09:00:00,52,973,0
2023-01-07,Air Freshener,11:00:00,33,607,0
2023-01-07,Diapers (Pack of 20),14:00:00,56,339,0
2023-01-07,Baby Wipes,12:00:00,42,90,0
2023-01-07,Baby Powder,20:00:00,61,306,0
2023-01-07,Baby Cereal,19:00:00,26,310,0
2023-01-07,Formula Milk,14:00:00,73,419,0
2023-01-07,Men's T-shirt,16:00:00,44,1018,0
2023-01-07,Women's Jeans,14:00:00,30,1193,0
2023-01-07,Kids' Shorts,09:00:00,53,984,0
2023-01-07,Socks (Pack of 3),13:00:00,57,1054,0
2023-01-07,Cotton Towels,14:00:00,64,845,0
2023-01-07,AA Batteries (Pack),12:00:00,41,359,0
2023-01-07,USB Charging Cable,09:00:00,39,624,0
2023-01-07,LED Light Bulb,18:00:00,10,269,0
2023-01-07,Bluetooth Earphones,09:00:00,43,621,0
2023-01-07,Power Strip,09:00:00,61,393,0
2023-01-07,Chocolate Cookies,19:00:00,33,135,0
2023-01-07,Salted Chips,20:00:00,47,39,0
2023-01-07,Trail Mix,11:00:00,42,506,0
2023-01-07,Protein Bars,12:00:00,22,363,0
2023-01-07,Microwave Popcorn,20:00:00,20,475,0
2023-01-07,Notebook,16:00:00,52,414,0
2023-01-07,Ballpoint Pens,13:00:00,20,1018,0
2023-01-07,Sticky Notes,10:00:00,61,560,0
2023-01-07,Gift Wrap,12:00:00,24,909,0
2023-01-07,Hand Sanitizer,19:00:00,25,642,0
2023-01-08,Basmati Rice,15:00:00,49,424,0
2023-01-08,Whole Wheat Flour,14:00:00,15,522,0
2023-01-08,Granulated Sugar,10:00:00,69,759,0
2023-01-08,Iodized Salt,17:00:00,18,328,0
2023-01-08,Sunflower Cooking Oil,13:00:00,8,721,0
2023-01-08,Instant Noodles,16:00:00,24,804,0
2023-01-08,Breakfast Cereal,09:00:00,18,728,0
2023-01-08,Peanut Butter,09:00:00,42,425,0
2023-01-08,Green Tea,20:00:00,25,1256,0
2023-01-08,Instant Coffee,12:00:00,23,1264,0
2023-01-08,Whole Milk,18:00:00,12,582,0
2023-01-08,Orange Juice,14:00:00,60,651,0
2023-01-08,Coca-Cola (Can),11:00:00,69,729,0
2023-01-08,Bottled Water (1L),14:00:00,66,242,0
2023-01-08,Flavored Yogurt,13:00:00,61,865,0
2023-01-08,Toothpaste,18:00:00,22,322,0
2023-01-08,Shampoo,19:00:00,24,744,0
2023-01-08,Bar Soap,16:00:00,16,759,0
2023-01-08,Body Lotion,17:00:00,56,765,0
2023-01-08,Shaving Cream,09:00:00,39,966,0
2023-01-08,Laundry Detergent,20:00:00,0,0,0
2023-01-08,Toilet Paper (Rolls),16:00:00,15,661,0
2023-01-08,Dishwashing Liquid,18:00:00,24,0,0
2023-01-08,Garbage Bags,12:00:00,50,923,0
2023-01-08,Air Freshener,17:00:00,27,580,0
2023-01-08,Diapers (Pack of 20),19:00:00,54,285,0
2023-01-08,Baby Wipes,16:00:00,47,43,0
2023-01-08,Baby Powder,16:00:00,63,243,0
2023-01-08,Baby Cereal,11:00:00,24,286,0
2023-01-08,Formula Milk,10:00:00,70,349,0
2023-01-08,Men's T-shirt,10:00:00,45,973,0
2023-01-08,Women's Jeans,11:00:00,30,1163,0
2023-01-08,Kids' Shorts,10:00:00,52,932,0
2023-01-08,Socks (Pack of 3),09:00:00,59,995,0
2023-01-08,Cotton Towels,20:00:00,66,779,0
2023-01-08,AA Batteries (Pack),20:00:00,45,314,0
2023-01-08,USB Charging Cable,11:00:00,39,585,0
2023-01-08,LED Light Bulb,10:00:00,17,252,0
2023-01-08,Bluetooth Earphones,13:00:00,44,577,0
2023-01-08,Power Strip,15:00:00,62,331,0
2023-01-08,Chocolate Cookies,20:00:00,30,105,0
2023-01-08,Salted Chips,15:00:00,39,0,0
2023-01-08,Trail Mix,14:00:00,41,465,0
2023-01-08,Protein Bars,20:00:00,23,340,0
2023-01-08,Microwave Popcorn,18:00:00,20,455,0
2023-01-08,Notebook,14:00:00,53,361,0
2023-01-08,Ballpoint Pens,17:00:00,21,997,0
2023-01-08,Sticky Notes,09:00:00,64,496,0
2023-01-08,Gift Wrap,19:00:00,21,888,0
2023-01-08,Hand Sanitizer,12:00:00,22,620,0
2023-01-09,Basmati Rice,11:00:00,42,382,0
2023-01-09,Whole Wheat Flour,13:00:00,13,509,0
2023-01-09,Granulated Sugar,09:00:00,61,698,0
2023-01-09,Iodized Salt,16:00:00,19,309,0
2023-01-09,Sunflower Cooking Oil,11:00:00,7,714,0
2023-01-09,Instant Noodles,18:00:00,14,790,0
2023-01-09,Breakfast Cereal,18:00:00,17,711,0
2023-01-09,Peanut Butter,18:00:00,34,391,0
2023-01-09,Green Tea,12:00:00,21,1235,0
2023-01-09,Instant Coffee,10:00:00,19,1245,0
2023-01-09,Whole Milk,18:00:00,11,571,0
2023-01-09,Orange Juice,16:00:00,45,606,0
2023-01-09,Coca-Cola (Can),18:00:00,55,674,0
2023-01-09,Bottled Water (1L),17:00:00,54,188,0
2023-01-09,Flavored Yogurt,18:00:00,47,818,0
2023-01-09,Toothpaste,14:00:00,23,299,0
2023-01-09,Shampoo,18:00:00,21,723,0
2023-01-09,Bar Soap,14:00:00,12,747,0
2023-01-09,Body Lotion,20:00:00,47,718,0
2023-01-09,Shaving Cream,16:00:00,32,934,0
2023-01-09,Laundry Detergent,14:00:00,0,0,0
2023-01-09,Toilet Paper (Rolls),15:00:00,14,647,0
2023-01-09,Dishwashing Liquid,10:00:00,0,0,0
2023-01-09,Garbage Bags,17:00:00,38,885,0
2023-01-09,Air Freshener,09:00:00,24,556,0
2023-01-09,Diapers (Pack of 20),19:00:00,48,237,0
2023-01-09,Baby Wipes,20:00:00,39,4,0
2023-01-09,Baby Powder,12:00:00,51,192,0
2023-01-09,Baby Cereal,18:00:00,20,266,0
2023-01-09,Formula Milk,12:00:00,58,291,0
2023-01-09,Men's T-shirt,19:00:00,41,932,0
2023-01-09,Women's Jeans,17:00:00,28,1135,0
2023-01-09,Kids' Shorts,13:00:00,46,886,0
2023-01-09,Socks (Pack of 3),17:00:00,46,949,0
2023-01-09,Cotton Towels,17:00:00,61,718,0
2023-01-09,AA Batteries (Pack),11:00:00,30,284,0
2023-01-09,USB Charging Cable,15:00:00,31,554,0
2023-01-09,LED Light Bulb,14:00:00,10,242,0
2023-01-09,Bluetooth Earphones,19:00:00,35,542,0
2023-01-09,Power Strip,17:00:00,50,281,0
2023-01-09,Chocolate Cookies,20:00:00,23,82,0
2023-01-09,Salted Chips,15:00:00,0,0,0
2023-01-09,Trail Mix,17:00:00,32,433,0
2023-01-09,Protein Bars,12:00:00,15,325,0
2023-01-09,Microwave Popcorn,11:00:00,17,438,0
2023-01-09,Notebook,09:00:00,42,319,0
2023-01-09,Ballpoint Pens,18:00:00,19,978,0
2023-01-09,Sticky Notes,11:00:00,49,447,0
2023-01-09,Gift Wrap,09:00:00,19,869,0
2023-01-09,Hand Sanitizer,15:00:00,18,602,0
2023-01-10,Basmati Rice,11:00:00,43,339,0
2023-01-10,Whole Wheat Flour,10:00:00,13,496,0
2023-01-10,Granulated Sugar,20:00:00,59,639,0
2023-01-10,Iodized Salt,15:00:00,17,292,0
2023-01-10,Sunflower Cooking Oil,12:00:00,9,705,0
2023-01-10,Instant Noodles,13:00:00,18,772,0
2023-01-10,Breakfast Cereal,09:00:00,16,695,0
2023-01-10,Peanut Butter,11:00:00,31,360,0
2023-01-10,Green Tea,12:00:00,20,1215,0
2023-01-10,Instant Coffee,13:00:00,21,1224,0
2023-01-10,Whole Milk,16:00:00,12,559,0
2023-01-10,Orange Juice,19:00:00,47,559,0
2023-01-10,Coca-Cola (Can),18:00:00,52,622,0
2023-01-10,Bottled Water (1L),15:00:00,56,132,0
2023-01-10,Flavored Yogurt,19:00:00,51,767,0
2023-01-10,Toothpaste,15:00:00,24,275,0
2023-01-10,Shampoo,16:00:00,20,703,0
2023-01-10,Bar Soap,18:00:00,13,734,0
2023-01-10,Body Lotion,15:00:00,50,668,0
2023-01-10,Shaving Cream,20:00:00,32,902,0
2023-01-10,Laundry Detergent,18:00:00,0,0,0
2023-01-10,Toilet Paper (Rolls),13:00:00,10,637,0
2023-01-10,Dishwashing Liquid,10:00:00,0,0,0
2023-01-10,Garbage Bags,19:00:00,43,842,0
2023-01-10,Air Freshener,15:00:00,26,530,0
2023-01-10,Diapers (Pack of 20),16:00:00,45,192,0
2023-01-10,Baby Wipes,14:00:00,4,0,0
2023-01-10,Baby Powder,13:00:00,54,138,0
2023-01-10,Baby Cereal,14:00:00,18,248,0
2023-01-10,Formula Milk,09:00:00,63,228,0
2023-01-10,Men's T-shirt,17:00:00,40,892,0
2023-01-10,Women's Jeans,15:00:00,22,1113,0
2023-01-10,Kids' Shorts,20:00:00,42,844,0
2023-01-10,Socks (Pack of 3),16:00:00,46,903,0
2023-01-10,Cotton Towels,19:00:00,57,661,0
2023-01-10,AA Batteries (Pack),11:00:00,33,251,0
2023-01-10,USB Charging Cable,15:00:00,35,519,0
2023-01-10,LED Light Bulb,20:00:00,11,231,0
2023-01-10,Bluetooth Earphones,11:00:00,38,504,0
2023-01-10,Power Strip,11:00:00,49,232,0
2023-01-10,Chocolate Cookies,17:00:00,25,57,0
2023-01-10,Salted Chips,14:00:00,0,0,0
2023-01-10,Trail Mix,14:00:00,34,399,0
2023-01-10,Protein Bars,11:00:00,19,306,0
2023-01-10,Microwave Popcorn,17:00:00,18,420,0
2023-01-10,Notebook,20:00:00,44,275,0
2023-01-10,Ballpoint Pens,18:00:00,20,958,0
2023-01-10,Sticky Notes,13:00:00,49,398,0
2023-01-10,Gift Wrap,15:00:00,19,850,0
2023-01-10,Hand Sanitizer,19:00:00,17,585,0
2023-01-11,Basmati Rice,09:00:00,43,296,0
