date,item_id,item_name,category,stock_sold,price,promo,item_replaced,new_item_added
2024-03-09,0,Rice,Grocery,35,82.27,1,0,0
2024-01-20,1,Wheat Flour,Grocery,81,39.58,0,0,0
2024-01-20,4,Cooking Oil,Grocery,49,15.18,0,0,0
2024-01-30,1,Wheat Flour,Grocery,37,77.09,1,0,0
2024-05-17,2,Sugar,Grocery,65,46.73,0,0,0
2024-11-29,2,Sugar,Grocery,47,46.33,1,0,0
2024-06-18,7,Soap,Personal Care,78,65.26,0,0,0
2024-10-17,0,Rice,Grocery,55,55.76,0,0,0
2024-02-24,8,Milk,Dairy,27,98.56,1,0,0
2024-02-17,6,Shampoo,Personal Care,43,47.92,0,0,0
2024-05-19,4,Cooking Oil,Grocery,57,76.86,1,0,0
2024-11-19,7,Soap,Personal Care,47,18.51,0,0,0
2024-08-15,6,Shampoo,Personal Care,63,60.33,0,0,0
2024-07-21,3,Salt,Grocery,59,11.81,1,0,0
2024-09-26,0,Rice,Grocery,35,48.48,0,0,0
2024-01-02,9,Tea,Beverage,34,91.84,1,0,0
2024-01-07,0,Rice,Grocery,28,20.79,0,0,0
2024-05-17,0,Rice,Grocery,58,28.24,0,0,0
2024-07-01,2,Sugar,Grocery,65,96.88,1,0,1
2024-08-17,6,Shampoo,Personal Care,75,11.89,1,0,0
2024-05-16,2,Sugar,Grocery,41,63.91,1,0,0
2024-05-24,1,Wheat Flour,Grocery,41,96.39,0,0,0
2024-01-25,9,Tea,Beverage,76,46.31,0,0,0
2024-11-23,3,Salt,Grocery,40,95.12,1,0,0
2024-02-29,9,Tea,Beverage,51,71.22,0,0,0
2024-10-24,6,Shampoo,Personal Care,32,87.8,0,0,0
2024-08-15,5,Toothpaste,Personal Care,61,32.48,0,0,0
2024-10-28,3,Salt,Grocery,42,35.67,1,0,0
2024-09-11,4,Cooking Oil,Grocery,47,81.6,1,0,0
2024-03-23,6,Shampoo,Personal Care,57,79.88,0,0,0
2024-11-20,9,Tea,Beverage,34,89.9,1,0,0
2024-10-20,2,Sugar,Grocery,40,27.2,0,0,0
2024-06-15,2,Sugar,Grocery,59,15.56,1,0,0
2024-10-02,5,Toothpaste,Personal Care,64,23.11,0,0,0
2024-10-08,3,Salt,Grocery,63,94.01,0,0,0
2024-05-21,1,Wheat Flour,Grocery,71,33.42,1,0,0
2024-11-27,3,Salt,Grocery,53,68.03,0,0,0
2024-03-19,1,Wheat Flour,Grocery,58,59.32,1,0,0
2024-05-11,6,Shampoo,Personal Care,41,40.2,0,0,0
2024-12-16,2,Sugar,Grocery,64,19.42,1,1,0
2024-11-07,9,Tea,Beverage,40,82.53,1,0,0
2024-09-03,7,Soap,Personal Care,43,44.66,1,0,0
2024-05-15,0,Rice,Grocery,43,35.01,0,0,0
2024-01-26,1,Wheat Flour,Grocery,70,29.17,0,0,0
2024-04-01,3,Salt,Grocery,63,47.06,1,0,1
2024-08-08,2,Sugar,Grocery,65,53.43,0,0,0
2024-05-20,1,Wheat Flour,Grocery,60,50.89,0,0,0
2024-11-15,4,Cooking Oil,Grocery,65,44.05,1,0,0
2024-10-02,1,Wheat Flour,Grocery,70,25.37,0,0,0
2024-05-22,9,Tea,Beverage,59,64.95,1,0,0
2024-06-10,0,Rice,Grocery,33,43.71,0,0,0
2024-06-18,2,Sugar,Grocery,55,83.69,1,0,0
2024-12-07,3,Salt,Grocery,72,57.5,0,0,0
2024-02-15,1,Wheat Flour,Grocery,59,58.77,1,0,0
2024-01-30,8,Milk,Dairy,40,26.79,1,0,0
2024-11-21,9,Tea,Beverage,37,61.61,1,0,0
2024-06-15,1,Wheat Flour,Grocery,43,26.72,0,0,0
2024-09-13,1,Wheat Flour,Grocery,41,94.26,0,0,0
2024-02-03,9,Tea,Beverage,67,81.46,1,0,0
2024-06-20,2,Sugar,Grocery,12,24.51,1,0,0
2024-01-11,2,Sugar,Grocery,46,33.87,1,0,0
2024-05-13,6,Shampoo,Personal Care,68,91.55,0,0,0
2024-03-10,9,Tea,Beverage,68,18.6,1,0,0
2024-09-21,7,Soap,Personal Care,53,10.64,0,0,0
2024-07-13,2,Sugar,Grocery,42,14.6,1,0,0
2024-12-22,0,Rice,Grocery,48,85.55,1,0,0
2024-11-12,1,Wheat Flour,Grocery,45,28.13,1,0,0
2024-06-17,8,Milk,Dairy,72,12.92,0,0,0
2024-01-23,8,Milk,Dairy,36,91.98,1,0,0
2024-11-26,5,Toothpaste,Personal Care,42,37.87,0,0,0
2024-09-09,7,Soap,Personal Care,41,92.06,1,0,0
2024-12-21,3,Salt,Grocery,60,38.34,1,0,0
2024-07-31,4,Cooking Oil,Grocery,38,16.14,1,0,0
2024-02-24,2,Sugar,Grocery,34,17.41,0,0,0
2024-09-23,9,Tea,Beverage,42,78.86,0,0,0
2024-12-22,8,Milk,Dairy,42,84.36,0,0,0
2024-07-31,7,Soap,Personal Care,57,43.92,1,0,0
2024-11-13,2,Sugar,Grocery,47,39.21,1,0,0
2024-06-01,2,Sugar,Grocery,55,38.15,1,0,0
2024-02-08,7,Soap,Personal Care,41,15.91,1,0,0
2024-10-31,5,Toothpaste,Personal Care,27,97.12,0,0,0
2024-11-03,2,Sugar,Grocery,60,86.63,0,0,0
2024-11-02,1,Wheat Flour,Grocery,59,51.89,0,0,0
2024-03-19,8,Milk,Dairy,39,71.93,1,0,0
2024-07-30,1,Wheat Flour,Grocery,54,99.49,0,0,0
2024-07-10,2,Sugar,Grocery,57,84.56,1,0,0
2024-11-13,3,Salt,Grocery,45,95.06,0,0,0
2024-01-02,6,Shampoo,Personal Care,40,71.58,1,0,0
2024-12-07,7,Soap,Personal Care,60,53.42,0,0,0
2024-02-20,2,Sugar,Grocery,54,68.97,0,0,0
2024-10-29,1,Wheat Flour,Grocery,16,38.43,1,0,0
2024-03-28,8,Milk,Dairy,43,88.55,1,0,0
2024-08-11,5,Toothpaste,Personal Care,51,93.03,0,0,0
2024-11-15,6,Shampoo,Personal Care,49,99.25,0,0,0
2024-07-11,9,Tea,Beverage,56,41.78,1,0,0
2024-06-24,1,Wheat Flour,Grocery,66,20.83,1,0,0
2024-12-10,1,Wheat Flour,Grocery,53,24.75,0,0,0
2024-02-16,6,Shampoo,Personal Care,68,15.88,0,0,0
2024-07-22,5,Toothpaste,Personal Care,51,37.3,1,0,0
2024-03-12,2,Sugar,Grocery,41,30.4,1,0,0
2024-11-15,2,Sugar,Grocery,48,33.62,0,0,0
2024-12-10,8,Milk,Dairy,62,33.58,0,0,0
2024-12-23,3,Salt,Grocery,45,18.91,0,0,0
2024-04-21,5,Toothpaste,Personal Care,59,96.04,0,0,0
2024-03-14,6,Shampoo,Personal Care,38,17.89,1,0,0
2024-02-11,1,Wheat Flour,Grocery,59,46.85,0,0,0
2024-10-21,6,Shampoo,Personal Care,54,27.97,0,0,0
2024-01-09,8,Milk,Dairy,53,40.51,0,0,0
2024-05-14,3,Salt,Grocery,73,80.54,1,0,0
2024-05-10,5,Toothpaste,Personal Care,71,13.82,0,0,0
2024-05-05,4,Cooking Oil,Grocery,31,38.95,0,0,0
2024-01-03,1,Wheat Flour,Grocery,31,56.81,1,0,0
2024-12-15,1,Wheat Flour,Grocery,33,36.62,0,1,0
2024-08-03,9,Tea,Beverage,28,23.37,1,0,0
2024-04-03,9,Tea,Beverage,56,65.38,1,0,0
2024-03-05,0,Rice,Grocery,81,22.57,0,0,0
2024-05-14,6,Shampoo,Personal Care,47,95.0,1,0,0
2024-12-29,7,Soap,Personal Care,43,94.25,0,0,0
2024-04-28,1,Wheat Flour,Grocery,59,51.19,0,0,0
2024-11-28,4,Cooking Oil,Grocery,29,85.3,0,0,0
2024-07-24,1,Wheat Flour,Grocery,47,19.81,0,0,0
2024-09-29,0,Rice,Grocery,37,27.64,1,0,0
2024-11-12,6,Shampoo,Personal Care,30,56.54,1,0,0
2024-11-01,6,Shampoo,Personal Care,27,87.03,0,0,0
2024-11-27,4,Cooking Oil,Grocery,69,60.17,0,0,0
2024-11-16,0,Rice,Grocery,60,30.53,0,0,0
2024-06-27,5,Toothpaste,Personal Care,43,27.41,0,0,0
2024-05-17,4,Cooking Oil,Grocery,27,50.52,0,0,0
2024-09-25,9,Tea,Beverage,55,87.99,0,0,0
2024-05-23,7,Soap,Personal Care,31,30.01,0,0,0
2024-05-07,1,Wheat Flour,Grocery,60,62.35,0,0,0
2024-12-06,1,Wheat Flour,Grocery,36,28.01,1,0,0
2024-01-13,7,Soap,Personal Care,57,92.19,1,0,0
2024-03-18,7,Soap,Personal Care,11,33.38,0,0,0
2024-01-20,6,Shampoo,Personal Care,64,41.58,0,0,0
2024-03-09,1,Wheat Flour,Grocery,33,58.52,1,0,0
2024-07-17,4,Cooking Oil,Grocery,41,70.23,1,0,0
2024-11-10,6,Shampoo,Personal Care,54,13.09,1,0,0
2024-12-10,3,Salt,Grocery,65,63.95,1,0,0
2024-05-10,7,Soap,Personal Care,27,74.3,0,0,0
2024-09-30,4,Cooking Oil,Grocery,60,67.37,1,0,0
2024-10-15,9,Tea,Beverage,28,44.52,0,0,0
2024-12-07,8,Milk,Dairy,52,77.25,0,0,0
2024-06-09,1,Wheat Flour,Grocery,45,27.68,1,0,0
2024-12-09,4,Cooking Oil,Grocery,47,94.03,1,0,0
2024-09-27,8,Milk,Dairy,57,43.96,1,0,0
2024-02-19,0,Rice,Grocery,40,29.84,1,0,0
2024-05-24,8,Milk,Dairy,34,64.51,0,0,0
2024-09-19,7,Soap,Personal Care,82,43.82,1,0,0
2024-09-22,3,Salt,Grocery,28,82.98,1,0,0
2024-06-29,3,Salt,Grocery,56,60.06,0,1,0
2024-04-03,2,Sugar,Grocery,51,24.22,0,0,0
2024-04-06,3,Salt,Grocery,67,16.27,0,0,0
2024-02-08,0,Rice,Grocery,45,17.68,0,0,0
2024-02-07,9,Tea,Beverage,66,69.72,0,0,0
2024-11-08,3,Salt,Grocery,48,77.29,0,0,0
2024-05-16,9,Tea,Beverage,36,87.95,0,0,0
2024-07-31,9,Tea,Beverage,48,95.81,1,0,0
2024-05-07,0,Rice,Grocery,43,95.54,0,0,0
2024-12-16,9,Tea,Beverage,49,54.14,1,0,0
2024-10-15,0,Rice,Grocery,38,94.06,1,0,0
2024-12-11,4,Cooking Oil,Grocery,37,19.27,1,0,0
2024-02-13,2,Sugar,Grocery,57,17.45,1,0,0
2024-03-22,3,Salt,Grocery,63,64.17,1,0,0
2024-09-21,1,Wheat Flour,Grocery,41,98.92,0,0,0
2024-03-03,9,Tea,Beverage,44,76.28,0,0,0
2024-02-01,4,Cooking Oil,Grocery,40,40.29,1,0,0
2024-11-03,3,Salt,Grocery,40,53.48,1,0,0
2024-09-04,5,Toothpaste,Personal Care,64,97.7,1,0,0
2024-03-31,7,Soap,Personal Care,50,75.05,1,0,0
2024-08-09,8,Milk,Dairy,41,86.91,1,0,0
2024-01-06,7,Soap,Personal Care,45,48.44,0,0,0
2024-07-25,9,Tea,Beverage,51,74.57,0,0,0
2024-12-13,3,Salt,Grocery,36,56.44,0,0,0
2024-03-31,4,Cooking Oil,Grocery,38,86.56,0,1,0
2024-05-12,6,Shampoo,Personal Care,57,14.65,0,0,0
2024-02-12,8,Milk,Dairy,53,64.05,1,0,0
2024-02-18,9,Tea,Beverage,57,56.14,0,0,0
2024-02-19,8,Milk,Dairy,73,18.23,1,0,0
2024-08-13,4,Cooking Oil,Grocery,9,16.74,1,0,0
2024-02-22,2,Sugar,Grocery,55,84.89,1,0,0
2024-08-31,2,Sugar,Grocery,52,10.88,0,0,0
2024-09-29,2,Sugar,Grocery,49,93.1,0,0,0
2024-09-26,4,Cooking Oil,Grocery,59,58.21,0,0,0
2024-07-17,9,Tea,Beverage,31,61.33,0,0,0
2024-09-20,2,Sugar,Grocery,40,56.55,0,0,0
2024-11-16,3,Salt,Grocery,70,64.46,1,0,0
2024-07-31,8,Milk,Dairy,18,19.61,1,0,0
2024-07-24,0,Rice,Grocery,42,53.76,1,0,0
2024-06-05,0,Rice,Grocery,59,35.79,1,0,0
2024-09-16,0,Rice,Grocery,43,67.36,0,0,0
2024-11-12,0,Rice,Grocery,56,10.82,1,0,0
2024-05-21,6,Shampoo,Personal Care,45,37.88,0,0,0
2024-01-05,7,Soap,Personal Care,45,55.77,1,0,0
2024-02-08,3,Salt,Grocery,50,77.5,1,0,0
2024-04-02,3,Salt,Grocery,26,79.48,1,0,0
2024-10-03,7,Soap,Personal Care,59,42.99,0,0,0
2024-08-27,6,Shampoo,Personal Care,66,22.55,1,0,0
2024-06-14,7,Soap,Personal Care,72,38.07,0,0,0
2024-09-16,8,Milk,Dairy,33,18.42,0,0,0
2024-11-30,9,Tea,Beverage,26,59.29,1,0,0
2024-03-31,2,Sugar,Grocery,56,64.77,0,0,0
2024-04-13,4,Cooking Oil,Grocery,42,33.18,0,0,0
2024-04-20,5,Toothpaste,Personal Care,44,23.39,0,0,0
2024-09-08,8,Milk,Dairy,62,15.06,0,0,0
2024-11-01,8,Milk,Dairy,42,79.19,0,0,1
2024-04-05,6,Shampoo,Personal Care,44,50.53,0,0,0
2024-06-09,6,Shampoo,Personal Care,53,26.67,1,0,0
2024-05-13,0,Rice,Grocery,17,21.85,1,1,0
2024-12-01,8,Milk,Dairy,39,84.67,1,0,0
2024-10-16,4,Cooking Oil,Grocery,46,29.96,0,0,0
2024-04-26,2,Sugar,Grocery,45,85.54,1,0,0
2024-02-17,8,Milk,Dairy,43,41.92,1,0,0
2024-04-03,0,Rice,Grocery,78,81.81,1,0,0
2024-03-24,5,Toothpaste,Personal Care,89,60.85,0,0,0
2024-12-14,7,Soap,Personal Care,38,65.31,1,0,0
2024-09-14,5,Toothpaste,Personal Care,31,92.42,1,0,0
2024-11-02,4,Cooking Oil,Grocery,63,93.7,0,0,0
2024-08-16,9,Tea,Beverage,65,78.08,1,0,0
2024-01-23,2,Sugar,Grocery,82,34.96,0,0,0
2024-10-15,1,Wheat Flour,Grocery,51,78.97,0,0,0
2024-05-06,3,Salt,Grocery,69,77.88,1,0,0
2024-05-22,6,Shampoo,Personal Care,55,70.92,1,0,0
2024-09-02,3,Salt,Grocery,60,67.95,0,0,0
2024-06-05,9,Tea,Beverage,26,19.09,1,0,0
2024-02-01,7,Soap,Personal Care,41,71.34,1,0,0
2024-09-05,3,Salt,Grocery,12,67.7,1,0,0
2024-12-02,8,Milk,Dairy,60,23.33,0,0,0
2024-10-04,7,Soap,Personal Care,69,90.46,1,0,0
2024-11-21,6,Shampoo,Personal Care,53,53.41,0,0,0
2024-11-11,7,Soap,Personal Care,73,17.72,1,0,0
2024-06-17,0,Rice,Grocery,63,40.96,0,0,0
2024-06-14,3,Salt,Grocery,43,89.64,0,0,0
2024-12-25,0,Rice,Grocery,46,38.24,0,0,0
2024-10-01,3,Salt,Grocery,64,85.25,0,0,0
2024-10-01,8,Milk,Dairy,52,14.91,1,0,1
2024-07-18,3,Salt,Grocery,71,72.55,1,0,0
2024-01-14,9,Tea,Beverage,60,17.68,1,0,0
2024-07-19,2,Sugar,Grocery,59,25.7,0,0,0
2024-12-01,0,Rice,Grocery,30,17.62,1,0,0
2024-02-19,5,Toothpaste,Personal Care,41,23.85,0,0,0
2024-01-15,4,Cooking Oil,Grocery,38,12.28,1,0,0
2024-09-03,9,Tea,Beverage,58,73.93,0,0,0
2024-06-21,2,Sugar,Grocery,29,19.53,0,0,0
2024-07-31,6,Shampoo,Personal Care,23,47.57,0,0,0
2024-05-26,5,Toothpaste,Personal Care,49,82.32,0,0,0
2024-11-16,5,Toothpaste,Personal Care,92,25.88,1,0,0
2024-08-11,4,Cooking Oil,Grocery,55,75.49,0,0,0
2024-11-20,6,Shampoo,Personal Care,49,42.77,0,0,0
2024-08-23,2,Sugar,Grocery,54,35.36,1,0,0
2024-09-04,3,Salt,Grocery,35,12.22,0,0,0
2024-11-11,5,Toothpaste,Personal Care,39,53.58,1,0,0
2024-02-21,5,Toothpaste,Personal Care,66,88.06,1,0,0
2024-10-25,8,Milk,Dairy,51,69.53,0,0,0
2024-06-25,8,Milk,Dairy,57,43.72,0,0,0
2024-04-19,5,Toothpaste,Personal Care,36,46.16,1,0,0
2024-04-08,4,Cooking Oil,Grocery,35,84.65,0,0,0
2024-01-19,9,Tea,Beverage,48,61.61,1,0,0
2024-10-07,5,Toothpaste,Personal Care,46,38.04,1,0,0
2024-07-08,7,Soap,Personal Care,52,94.65,0,0,0
2024-10-19,7,Soap,Personal Care,43,34.36,0,0,0
2024-01-09,4,Cooking Oil,Grocery,62,83.55,1,0,0
2024-01-21,2,Sugar,Grocery,42,17.64,0,0,0
2024-05-15,4,Cooking Oil,Grocery,46,76.41,1,0,0
2024-12-14,6,Shampoo,Personal Care,49,83.87,1,0,0
2024-07-29,1,Wheat Flour,Grocery,48,14.93,1,0,0
2024-09-10,0,Rice,Grocery,62,77.93,0,0,0
2024-04-11,5,Toothpaste,Personal Care,30,14.11,0,0,0
2024-06-24,0,Rice,Grocery,74,71.92,0,0,0
2024-08-01,2,Sugar,Grocery,56,21.02,0,0,1
2024-12-19,5,Toothpaste,Personal Care,52,57.68,1,0,0
2024-03-27,1,Wheat Flour,Grocery,58,84.25,1,0,0
2024-04-03,5,Toothpaste,Personal Care,65,91.55,0,0,0
2024-10-16,3,Salt,Grocery,43,21.76,0,0,0
2024-07-30,9,Tea,Beverage,62,99.29,0,0,0
2024-05-08,7,Soap,Personal Care,54,13.38,1,0,0
2024-01-23,4,Cooking Oil,Grocery,18,62.53,1,0,0
2024-02-17,1,Wheat Flour,Grocery,63,12.2,1,0,0
2024-12-08,7,Soap,Personal Care,70,12.8,0,0,0
2024-08-11,2,Sugar,Grocery,80,24.96,1,0,0
2024-11-11,0,Rice,Grocery,39,55.33,0,0,0
2024-04-11,0,Rice,Grocery,82,95.55,1,0,0
2024-05-01,1,Wheat Flour,Grocery,50,12.12,0,0,0
2024-03-16,8,Milk,Dairy,50,49.56,0,0,0
2024-11-17,8,Milk,Dairy,48,10.84,1,0,0
2024-05-04,6,Shampoo,Personal Care,56,78.16,1,0,0
2024-06-01,1,Wheat Flour,Grocery,46,42.44,1,1,0
2024-05-17,3,Salt,Grocery,67,11.39,1,0,0
2024-09-24,9,Tea,Beverage,45,59.22,1,0,0
2024-12-03,3,Salt,Grocery,74,20.81,1,0,0
2024-07-28,9,Tea,Beverage,37,38.88,1,0,0
2024-01-22,5,Toothpaste,Personal Care,56,88.17,1,0,0
2024-08-08,1,Wheat Flour,Grocery,38,28.37,1,0,0
2024-10-25,6,Shampoo,Personal Care,27,51.34,0,0,0
2024-02-06,6,Shampoo,Personal Care,50,63.21,0,0,0
2024-07-27,6,Shampoo,Personal Care,56,43.22,1,0,0
2024-06-17,4,Cooking Oil,Grocery,60,45.96,1,0,0
2024-01-25,2,Sugar,Grocery,51,30.58,0,0,0
2024-02-02,3,Salt,Grocery,40,26.31,0,0,0
2024-01-12,2,Sugar,Grocery,46,11.39,0,0,0
2024-08-25,3,Salt,Grocery,41,95.02,0,0,0
2024-08-24,0,Rice,Grocery,14,89.87,0,0,0
2024-01-15,9,Tea,Beverage,40,74.31,0,0,0
2024-12-05,2,Sugar,Grocery,82,90.07,1,0,0
2024-05-01,0,Rice,Grocery,52,86.24,0,0,0
2024-10-31,0,Rice,Grocery,36,93.84,1,0,0
2024-07-05,7,Soap,Personal Care,34,27.66,0,0,0
2024-10-23,1,Wheat Flour,Grocery,49,46.95,0,0,0
2024-09-07,9,Tea,Beverage,59,76.17,1,0,0
2024-04-01,4,Cooking Oil,Grocery,59,15.6,0,0,0
2024-07-27,3,Salt,Grocery,71,32.39,0,1,0
2024-01-22,1,Wheat Flour,Grocery,45,20.69,1,0,0
2024-04-29,9,Tea,Beverage,35,46.39,1,0,0
2024-06-14,9,Tea,Beverage,46,33.49,1,0,0
2024-01-30,7,Soap,Personal Care,58,23.76,1,0,0
2024-12-26,2,Sugar,Grocery,49,76.81,1,0,0
2024-07-23,3,Salt,Grocery,35,30.9,0,0,0
2024-09-21,3,Salt,Grocery,39,29.09,1,0,0
2024-04-22,0,Rice,Grocery,49,71.89,0,0,0
2024-01-21,3,Salt,Grocery,53,98.8,0,0,0
2024-01-17,9,Tea,Beverage,31,59.11,1,0,0
2024-02-09,1,Wheat Flour,Grocery,18,26.37,0,0,0
2024-06-18,0,Rice,Grocery,35,25.53,0,0,0
2024-02-22,3,Salt,Grocery,44,55.67,0,0,0
2024-08-15,3,Salt,Grocery,46,53.71,0,0,0
2024-03-18,8,Milk,Dairy,41,58.18,1,0,0
2024-06-11,4,Cooking Oil,Grocery,16,78.45,0,0,0
2024-11-10,9,Tea,Beverage,44,48.92,1,0,0
2024-06-17,3,Salt,Grocery,52,60.99,0,0,0
